"","month","current_year","mean_verbrauch","monat"
"1",1,FALSE,13967060.072,"Jan"
"2",1,TRUE,12893018.553,"Jan"
"3",2,FALSE,11207942.0054,"Feb"
"4",2,TRUE,10411464.648,"Feb"
"5",3,FALSE,10013743.8264,"Mär"
"6",3,TRUE,10751442.943,"Mär"
"7",4,FALSE,7094894.7274,"Apr"
"8",4,TRUE,7565028.067,"Apr"
"9",5,FALSE,5427664.8312,"Mai"
"10",5,TRUE,5011053.352,"Mai"
"11",6,FALSE,4363831.956,"Jun"
"12",6,TRUE,4013180.561,"Jun"
"13",7,FALSE,4549152.0042,"Jul"
"14",7,TRUE,3736035.654,"Jul"
"15",8,FALSE,4719840.2804,"Aug"
"16",8,TRUE,3412569.336,"Aug"
"17",9,FALSE,5777615.122,"Sep"
"18",10,FALSE,8103890.7044,"Okt"
"19",11,FALSE,10672959.9348,"Nov"
"20",12,FALSE,12255091.0116,"Dez"
