Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
30.09.2022,30.09.2022,14692,3548,384,108192.79999999999,0,0,6.912000000000004,14414.800000000005,332846.7999999999,47983.600000000006,0,9600,2112,30.09.2022
01.10.2022,01.10.2022,42060,6276,464,9788.399999999998,0,0,6.912000000000004,-90190.40000000005,333101.2,31028.800000000003,0,9600,2112,01.10.2022
02.10.2022,02.10.2022,145224,4456,704,8346.4,0,0,6.912000000000004,-86621.60000000003,368167.2,48240.40000000001,0,9600,2112,02.10.2022
03.10.2022,03.10.2022,232284,5500,384,35802.39999999999,0,0,6.912000000000004,-21962.399999999994,424454,67414.4,0,9600,2112,03.10.2022
04.10.2022,04.10.2022,94200,7024,384,79559.19999999995,0,0,6.912000000000004,46727.200000000004,417504.39999999997,73764.8,0,9600,2112,04.10.2022
05.10.2022,05.10.2022,93744,7184,384,37685.59999999999,0,0,6.912000000000004,-33813.19999999998,412485.9999999999,36198.000000000015,0,9600,2112,05.10.2022
06.10.2022,06.10.2022,23608,6880,384,71841.19999999998,0,0,6.912000000000004,110307.59999999999,373017.6000000001,53356.79999999998,0,9600,2112,06.10.2022
07.10.2022,07.10.2022,75648,6940,384,109254.79999999997,0,0,6.912000000000004,96353.20000000003,352426.4000000002,51743.200000000004,0,9600,2112,07.10.2022
08.10.2022,08.10.2022,31116,5520,504,6037.200000000004,0,0,6.912000000000004,23294.39999999999,353676,36035.99999999999,0,9600,2112,08.10.2022
09.10.2022,09.10.2022,68128,6856,704,16591.599999999995,0,0,6.912000000000004,-68919.20000000001,338911.6000000001,31054.39999999999,0,9600,2112,09.10.2022
10.10.2022,10.10.2022,123276,5588,384,116606.79999999999,0,0,6.912000000000004,-7361.999999999984,283508.0000000001,34171.2,0,9600,2112,10.10.2022
11.10.2022,11.10.2022,384,5428,384,173158.00000000003,0,0,6.912000000000004,96865.2,275778.8,54909.6,0,9600,2112,11.10.2022
12.10.2022,12.10.2022,12080,4720,384,186072.4,0,0,6.912000000000004,110137.19999999995,264404.80000000005,50881.200000000004,0,9600,2112,12.10.2022
13.10.2022,13.10.2022,5044,5092,384,120383.6,0,0,6.912000000000004,116495.20000000003,253187.99999999997,57582.40000000001,0,9600,2112,13.10.2022
14.10.2022,14.10.2022,14932,4920,384,84370.80000000002,0,0,6.912000000000004,67880.8,261481.6,48143.19999999999,0,9600,2112,14.10.2022
15.10.2022,15.10.2022,111236,3760,464,40160.399999999994,0,0,6.912000000000004,-54277.59999999999,272394.39999999997,23004.8,0,9600,2112,15.10.2022
16.10.2022,16.10.2022,64364,6828,704,31898.800000000007,0,0,6.912000000000004,-70733.59999999996,279773.5999999999,26124.000000000004,0,9600,2112,16.10.2022
17.10.2022,17.10.2022,150796,5596,384,159556.00000000003,0,0,6.912000000000004,7840.799999999996,246706.80000000002,28263.600000000002,0,9600,2112,17.10.2022
